conversation_id_str,created_at,favorite_count,full_text,id_str,lang,quote_count,reply_count,retweet_count,tweet_url,user_id_str
1.92859E+18,"30 May 2025, 22:58",1,selalu jaga dan awasi buah hati selama berada di area stasiun maupun di dalam commuter line,1.92859E+18,in,0,0,0,https://x.com/undefined/status/1928586893207224486,341987176
1.92859E+18,"30 May 2025, 22:58",1,selalu jaga kebersihan di commuter line dan area stasiun ya buang sampah pada tempat yang sudah disediakan sesuai dengan jenisnya di stasiun,1.92859E+18,in,0,0,0,https://x.com/undefined/status/1928586798151643382,341987176
1.92834E+18,"30 May 2025, 22:56",4,strategi yang kelihatan bagus tetapi dia gak berfikir bagaimana nasib masyarakat kecil yang menggunakan angkot untuk menunjang aktivitasnya apakah para masyarakat kecil ini sudah gak masuk hitungan kok diabaikan begitu saja,1.92859E+18,in,0,0,0,https://x.com/undefined/status/1928586254590857641,1.76453E+18
1.9283E+18,"30 May 2025, 22:54",1,yung mga nagsasabi na dapat ipagamit yung busway at bikelane sa riders kasi bakante naman ganyan yung ending pag pinayagan yun disiplinahin din yung mga puv na barubal sa kalsada at bigyan sila ng advantage sa kalsada at the same time for the benefit of the commuters,1.92859E+18,tl,0,0,0,https://x.com/undefined/status/1928585958670348634,86931695
1.92847E+18,"30 May 2025, 22:52",2,lagi ane setuju sm mbak soal ini,1.92859E+18,in,0,0,0,https://x.com/undefined/status/1928585422290006437,3699063374
1.92858E+18,"30 May 2025, 22:46",0,bahkan semakin pasar semakin sepi banyak toko yang tutup supermarket yang tutup sehingga memutus tali perekonomian mulai dari angkot gojek maupun penyedia makanan di pinggir jalan seperti warungwarung kecil yang kini sudah mati total apakah sadar kalian,1.92858E+18,in,0,0,0,https://x.com/undefined/status/1928583942883389705,1.4214E+18
1.92857E+18,"30 May 2025, 22:45",0,selamat pagi kak terkait saran dan masukan yang disampaikan akan menjadi catatan kami kedepannya demi meningkatkan pelayanan bagi pengguna jasa commuter line ya stay safe kak tks,1.92858E+18,in,0,0,0,https://x.com/undefined/status/1928583495237902713,341987176
1.92858E+18,"30 May 2025, 22:43",0,hai kak saat ini rute c beroperasi melayani pelanggan untuk fitur perencanaan perjalanan kakak dapat mengunduh aplikasi tj transjakarta pada playstore atau appstore ya kak terima kasih mb,1.92858E+18,in,0,0,0,https://x.com/undefined/status/1928582978168295924,104556071
1.92834E+18,"30 May 2025, 22:25",4,nyusahin pribumi naik angkot kelanjutan mul jilid,1.92858E+18,in,0,0,2,https://x.com/undefined/status/1928578417605157291,937162518
1.92858E+18,"30 May 2025, 22:22",3,koridor lebak bulus pasar baru di halte tanah kusir dan halte bungur arah pasar baru saat ini sudah beroperasi normal kembali melayani pelanggan tanpa pengalihan,1.92858E+18,in,0,0,0,https://x.com/undefined/status/1928577874233029115,104556071
